Id;Id_exclusiva;Nível_da_estrutura_de_tópicos;EDT;Nome;Porcentagem_Prev_Real;Porcentagem_Prev_LB;Duração;Início;Término;Início_da_Linha_de_Base;Término_da_linha_de_base;Área;Responsável_da_Tarefa;Dashboard;Desvio_LB
0;0;0;0;Cronograma Operacional - PFUS3 2025;10,42;11,36;1510,5 hrs;Qui 14/08/25 14:00;Qui 16/10/25 12:30;Qui 14/08/25 09:30;Ter 14/10/25 00:00;;;;0,83
1;1;1;1;Parada Fria da Usina 3;10,42;11,36;1510,5 hrs;Qui 14/08/25 14:00;Qui 16/10/25 12:30;Qui 14/08/25 09:30;Ter 14/10/25 00:00;;;;0,83
2;98;2;1.1;Corte da Produção;100;100;0 hrs;Sex 15/08/25 03:30;Sex 15/08/25 03:30;Sex 15/08/25 00:00;Sex 15/08/25 00:00;;;;0
3;7836;2;1.2;Blackout - SEM;0;100;0 hrs;Dom 24/08/25 00:00;Dom 24/08/25 00:00;Dom 17/08/25 00:00;Dom 17/08/25 00:00;;;;0
4;7835;2;1.3;Blackout - SEP;0;0;0 hrs;Dom 31/08/25 00:00;Dom 31/08/25 00:00;Dom 24/08/25 00:00;Dom 24/08/25 00:00;;;;0
5;13144;2;1.4;Blackout - SeM;0;0;0 hrs;Dom 07/09/25 00:00;Dom 07/09/25 00:00;Dom 31/08/25 00:00;Dom 31/08/25 00:00;;;;0
6;13066;2;1.5;Início das Manutenções;100;100;0 hrs;Seg 18/08/25 08:00;Seg 18/08/25 08:00;Seg 18/08/25 08:00;Seg 18/08/25 08:00;;;;0
7;13850;2;1.6;Início da PQ na PF;0;0;0 hrs;Seg 01/09/25 00:00;Seg 01/09/25 00:00;Seg 01/09/25 00:00;Seg 01/09/25 00:00;;;;0
8;474;2;1.7;Procedimentos de Parada;57,43;56,07;329 hrs;Qui 14/08/25 14:00;Qui 28/08/25 07:00;Qui 14/08/25 09:30;Qua 27/08/25 14:00;Alimentação;;;0,8
9;475;3;1.7.1;Pátio de Alimentação;99,99;99,99;9,5 hrs;Qui 14/08/25 14:00;Qui 14/08/25 23:30;Qui 14/08/25 09:30;Qui 14/08/25 19:00;Alimentação;;;0
