name,value,baseline,sub_activities
Pátio de Alimentação,"13,26","5,95","IE - Pátio de Alimentação:14,53|2,91; Manutenção PQ - Pátio de Alimentação:12|9; Pátio de Finos Disponível para Manutenção:17|14"
Secagem,"8,21","8,21","Projeto Briquetagem - Secagem:8,41|8,41; Manutenção PQ - Secagem:8|8; Secagem Disponível para Manutenção:8|8"
Torre de Resfriamento,0,0,IE - Recuperação Civil - TR301TR - Torre de Resfriamento:0|0; Manutenção PQ - Torre de Resfriamento:0|0; TR301TR Disponível para Manutenção:0|0
Mistura,"18,78","12,27","Projeto Briquetagem - Mistura:18,05|18,05; IE - Mistura:26,3|8,78; Manutenção PQ - Mistura:12|10; Mistura Disponível para Manutentação:14|12"
Briquetagem,"12,89","12,59","Projeto Briquetagem - Briquetagem:14,38|14,38; IE - Briquetagem:11,72|11,72; Manutenção PQ - Briquetagem:12|11; Briquetagem Disponível para Manutenção:14|13; Peneira de Rolos Disponível para Manutenção:13|13"
Forno,"2,48","2,48","Manutenção do Meio do Forno:0|0; Manutenção do Meio do Forno:0|0; Substituição Viga do Quadro Móvel da Roda Abaixamento:0|0; Substituição Viga da Roda Abaixamento:0|0; Manutenção Região do Levantamento AH1:0|0; Manutenção Região do Levantamento AH1:0|0; IE - Forno:8,63|8,63; Manutenção PQ - Forno:0|0; Região Superior do Meio do Forno Disponível para Manutenção:0|0; Região Inferior do Meio do Forno Disponível para Manutenção:0|0; Estação de Levantamento Disponível para Manutenção:0|0; Estação de Abaixamento Disponível para Manutenção:8|4"
Ventiladores,"12,21","6,37","IE - Ventiladores:13,36|3,86; Manutenção PQ - Ventiladores:11|9; AR81 Disponível para Manutenção:12|10; AH47 Disponível para Manutenção:6|6; AH 93 e AH94 Disponível para Manutenção:4|4; AH33 Disponível para Manutenção:12|11; AH34 Disponível para Manutenção:6|6; AH30 Disponível para Manutenção:5|5"
Precipitadores,"4,37","6,18","Precipitador AR1:1,71|0; Precipitador AR40:1,05|0; Projeto Briquetagem - Balanceamento AR80 - Precipitadores:12,54|29,96; Manutenção PQ - Precipitadores:5|3; Manutenção dos Precipitadores Concluída:0|0; AR80 Disponível para Manutenção:5|3; AR1 Disponível para Manutenção:5|5; AR40 Disponível para Manutenção:2|2"
Peneiramento,"9,03","8,21",IE - Peneiramento:0|0; Manutenção PQ - Peneiramento:11|10; Circuito da Emergência Disponível para Manutenção:0|0; BH128  BH129  BH130 Disponível para Manutenção Finos de PQ:12|10; Peneira AH13PV Diponível para Manutenção:11|10
Pátio de Briquete,"14,02","11,42","Projeto Briquetagem - Pátio de Briquete:13,5|13,5; IE - Pátio de Briquete:17,61|10,84; Manutenção PQ - Pátio de Briquete:11|10; Pátio de Pelotas Disponível para Manutenção:11|10"
