name,value,baseline,sub_activities
Pátio de Alimentação,"100,01","100,01",Cortar Produção do Pátio de Finos Parar Pátio Vazio:100|100; Posicionar Recuperadora na Baliza para Limpeza Fora da Área de Manutenção:100|100; Bloquear e Realizar Limpeza Geral 1PA11:100|100; Esvaziar e Limpar Chutes do Circuito de Alimentação Transportadores de Correia e Chutes:100|100; Posicionar Emenda das Correias Conforme Necessidade:100|100; Desbloquear e Transladar 1PA11 para Baliza de Manutenção:100|100; Realizar Bloqueio da 1PA11:100|100; Realizar Bloqueio do Circuito do Pátio de Finos:100|100
Secagem,100,100,Esvaziar Silo 1SM2SI:100|100; Esvaziar Secador 1SM5SC:100|100; Realizar Limpeza do Filtro de Manga 1SM20FM:100|100; Desligar e Resfriar Queimadores 1SM6GG:100|100; Realizar Purga do Gás do Queimador:100|100; Esvaziar Circuito da Secagem Chutes de Trasnferência e Correias:100|100; Realizar Bloqueio da Secagem:100|100
Torre de Resfriamento,100,100,TR301TR Forno  Ventiladores:100|100
Mistura,100,100,Esvaziar Silos BV100SI e BV101SI:100|100; Esvaziar Caixa do AZ110FM:100|100; Esvaziar Misturador AZ05MI e Circuito de Correias:100|100; Realizar Bloqueio da Mistura:100|100
Briquetagem,100,100,Esvaziar Silos AG100SI  AG101SI  AG102SI:100|100; Esvaziar Briquetadeiras AG71RB  AG74RB  AG77RB:100|100; Esvaziar Circuito de Correias da Briquetagem:100|100; Realizar Bloqueio da Briquetagem:100|100; Procedimento de Limpeza da Peneira de Rolos Concluído:100|100
Forno,"50,33","57,88","Esvaziar Grelha do Forno:100|100; Realizar Limpeza dos Motores da Peneira de Rolos:100|100; Corte de Produção do Forno:100|100; Realizar Procedimento para Não Utilizar NR20 na Região do Forno:100|100; Realizar Resfriamento Forçado até a Temperatura Ambiente AH30VT em Abertura Mínima  AH47VT  AH93VT  AH34VT:100|100; Realizar Bloqueio na Chave de Comando Local da Grelha do Forno para Retirar as Proteções Laterais:100|100; Retirar Proteções Laterais  Corrimão ao Longo do Forno e Levantar Selagens Superiores:100|100; Realizar Desbloqueio na Chave de Comando Local da Grelha do Forno:100|100; Cangar Todos os Carros de Grelha da Parte Superior da Grelha:100|100; Retirar Carros de Grelha das Rodas de Levantamento e Abaixamento 14 Carros:100|100; Bloquear Chave A3 para Passar Cabo de Aço:100|100; Passar Cabo de Aço na Região Inferior:100|100; Desbloquear Chave A3 para Passar Cabo de Aço:100|100; Retirar Todos os Carros de Grelha da Região Superior - Carga 57 Carros:100|100; Realizar Limpeza dos Trilhos Superiores, Selagens Inferiores e Vigas de Apoio e Colunas Superiores com Hidrojato:100|46; Bloquear Chave A3 para Instalação de Batente Mecânico:100|100; Instalar e Bloquear com Batente Mecânico na Região Superior próx. Abaixamento e próx. Levantamento:100|100; Desbloquear Chave A3 para Instalação de Batente Mecânico:100|100; Meio do Forno Região Superior Liberada para Manutenção:100|100; Retirar Todos os Carros de Grelha da Região Inferior 58 Carros:89|100; Realizar Limpeza dos Trilhos Inferiores, Vigas de Apoio e Colunas Inferiores com Hidrojato:71|0; Retirada de Carros Grelhas Concluída:0|0; Procedimento de Limpeza da Manutenção Roda Levantamento:0|50; Roda de Levantamento Liberada para Manutenção:0|0; Procedimento de Limpeza da Manutenção da Roda de Abaixamento:100|100; Roda de Abaixamento Liberada para Manutenção:100|100; Procedimento de Limpeza das Caixas de Vento:0|0; Caixas de Ventos Liberadas para Manutenção:0|0"
Ventiladores,100,100,Realizar Bloqueio Elétrico AR81 Ambiental:100|100; Realizar Bloqueio Elétrico AH33 Queima para Secagem Descendente:100|100; Realizar Bloqueio Elétrico AH34 Secagem Descendente para PP AR1:100|100; Realizar Bloqueio Elétrico AH47 Secagem Ascendente para PP AR40:100|100; Realizar Bloqueio Elétrico AH30 Resfriamento:100|100; Realizar Bloqueio Elétrico AH93 e AH94 Atomizadores:100|100
Precipitadores,"83,33",100,"AR80:100|100; Manter Batimento de Todos os Campos e para Descarregar as Tremonhas dos Precipitadores AR1 e AR40 até Bloqueio:100|100; AR1:100|100; AR40:100|33,33"
Peneiramento,"8,77","8,77",Esvaziar Silo AH222 Perna da Emergência via AH103 e Produção Via Comporta AH11:100|100; Manter Circuito de Emergência Rodando para Limpeza das Caixas de Vento:100|100; Realizar Limpeza através do Circuito da Emergência AH17  AH19  AH20  AH103  AH104  AH105:0|0; Esvaziar Circuito de Limpeza do Forno e da Emergência AH17  AH19  AH20  AH103  AH104  AH105:0|0; Bloquear Circuito de Limpeza do Forno e da Emergência AH17  AH19  AH20  AH103  AH104  AH105:0|0; Esvaziar Circuito de Finos BH128  BH129  BH130:100|100; Realizar Bloqueio Elétrico do Circuito de Finos de PQ BH128  BH129  BH130:100|100; Esvaziar Chute da Peneira AH13PV para 2P0TC:100|100; Esvaziar Peneira AH13PV:100|100; Realizar Bloqueio Elétrico da Peneira AH13PV:100|100
Pátio de Briquete,100,100,"Esvaziar Correias do Circuito, Realizar Limpezas dos Chutes do Circuito e Posicionar Correias para Manutenção 2P0TC até Pátio do Briquete:100|100; Realizar Bloqueio Elétrico do Pátio do Briquete:100|100; Limpar Máquina EP 2P2A:100|100"
